"ZIPCODE":"55428","TOTALCUSTOMERS":14084,"CUSTOMERSOUT":8
"ZIPCODE":"55429","TOTALCUSTOMERS":11324,"CUSTOMERSOUT":11
"ZIPCODE":"73949","TOTALCUSTOMERS":4,"CUSTOMERSOUT":1
"ZIPCODE":"54656","TOTALCUSTOMERS":7612,"CUSTOMERSOUT":117
"ZIPCODE":"54876","TOTALCUSTOMERS":1807,"CUSTOMERSOUT":21
"ZIPCODE":"80015","TOTALCUSTOMERS":12560,"CUSTOMERSOUT":2
"ZIPCODE":"80112","TOTALCUSTOMERS":17800,"CUSTOMERSOUT":5
"ZIPCODE":"80212","TOTALCUSTOMERS":10344,"CUSTOMERSOUT":1
"ZIPCODE":"80216","TOTALCUSTOMERS":9510,"CUSTOMERSOUT":3
"ZIPCODE":"80224","TOTALCUSTOMERS":9319,"CUSTOMERSOUT":1
"ZIPCODE":"80234","TOTALCUSTOMERS":13741,"CUSTOMERSOUT":6
"ZIPCODE":"80301","TOTALCUSTOMERS":15217,"CUSTOMERSOUT":9
"ZIPCODE":"55024","TOTALCUSTOMERS":5789,"CUSTOMERSOUT":244
"ZIPCODE":"55079","TOTALCUSTOMERS":1734,"CUSTOMERSOUT":30
"ZIPCODE":"55108","TOTALCUSTOMERS":7226,"CUSTOMERSOUT":7
"ZIPCODE":"55113","TOTALCUSTOMERS":21244,"CUSTOMERSOUT":1
"ZIPCODE":"80538","TOTALCUSTOMERS":1969,"CUSTOMERSOUT":5
"ZIPCODE":"80550","TOTALCUSTOMERS":9662,"CUSTOMERSOUT":1
