"ZIPCODE":"80211","TOTALCUSTOMERS":20098,"CUSTOMERSOUT":7
"ZIPCODE":"80237","TOTALCUSTOMERS":12052,"CUSTOMERSOUT":1
"ZIPCODE":"80439","TOTALCUSTOMERS":9787,"CUSTOMERSOUT":1
"ZIPCODE":"80631","TOTALCUSTOMERS":20316,"CUSTOMERSOUT":0
"ZIPCODE":"80634","TOTALCUSTOMERS":26150,"CUSTOMERSOUT":1
"ZIPCODE":"81125","TOTALCUSTOMERS":258,"CUSTOMERSOUT":1
"ZIPCODE":"81132","TOTALCUSTOMERS":1129,"CUSTOMERSOUT":2
"ZIPCODE":"88201","TOTALCUSTOMERS":13027,"CUSTOMERSOUT":1
"ZIPCODE":"88242","TOTALCUSTOMERS":3514,"CUSTOMERSOUT":0
"ZIPCODE":"88252","TOTALCUSTOMERS":2765,"CUSTOMERSOUT":1
"ZIPCODE":"49947","TOTALCUSTOMERS":897,"CUSTOMERSOUT":5
"ZIPCODE":"55103","TOTALCUSTOMERS":5310,"CUSTOMERSOUT":11
"ZIPCODE":"55412","TOTALCUSTOMERS":9196,"CUSTOMERSOUT":1
"ZIPCODE":"55431","TOTALCUSTOMERS":9690,"CUSTOMERSOUT":30
"ZIPCODE":"55437","TOTALCUSTOMERS":9594,"CUSTOMERSOUT":0
"ZIPCODE":"55983","TOTALCUSTOMERS":691,"CUSTOMERSOUT":1
"ZIPCODE":"58251","TOTALCUSTOMERS":785,"CUSTOMERSOUT":8
"ZIPCODE":"79104","TOTALCUSTOMERS":3057,"CUSTOMERSOUT":1
"ZIPCODE":"79109","TOTALCUSTOMERS":22334,"CUSTOMERSOUT":28
"ZIPCODE":"54703","TOTALCUSTOMERS":19748,"CUSTOMERSOUT":1
"ZIPCODE":"54751","TOTALCUSTOMERS":9706,"CUSTOMERSOUT":2
"ZIPCODE":"54821","TOTALCUSTOMERS":928,"CUSTOMERSOUT":2
"ZIPCODE":"80004","TOTALCUSTOMERS":15331,"CUSTOMERSOUT":42
"ZIPCODE":"80012","TOTALCUSTOMERS":22556,"CUSTOMERSOUT":52
"ZIPCODE":"80019","TOTALCUSTOMERS":3200,"CUSTOMERSOUT":1
