"ZIPCODE":"55347","TOTALCUSTOMERS":10846,"CUSTOMERSOUT":8
"ZIPCODE":"55408","TOTALCUSTOMERS":19073,"CUSTOMERSOUT":1
"ZIPCODE":"55411","TOTALCUSTOMERS":10369,"CUSTOMERSOUT":4
"ZIPCODE":"55412","TOTALCUSTOMERS":9196,"CUSTOMERSOUT":85
"ZIPCODE":"55417","TOTALCUSTOMERS":12138,"CUSTOMERSOUT":20
"ZIPCODE":"55425","TOTALCUSTOMERS":5686,"CUSTOMERSOUT":1
"ZIPCODE":"55431","TOTALCUSTOMERS":9686,"CUSTOMERSOUT":1
"ZIPCODE":"55443","TOTALCUSTOMERS":13426,"CUSTOMERSOUT":1
"ZIPCODE":"55910","TOTALCUSTOMERS":580,"CUSTOMERSOUT":17
"ZIPCODE":"56001","TOTALCUSTOMERS":20279,"CUSTOMERSOUT":37
"ZIPCODE":"56260","TOTALCUSTOMERS":267,"CUSTOMERSOUT":1
"ZIPCODE":"58251","TOTALCUSTOMERS":786,"CUSTOMERSOUT":15
"ZIPCODE":"57104","TOTALCUSTOMERS":12616,"CUSTOMERSOUT":1
"ZIPCODE":"79043","TOTALCUSTOMERS":667,"CUSTOMERSOUT":1
"ZIPCODE":"79070","TOTALCUSTOMERS":4566,"CUSTOMERSOUT":1
"ZIPCODE":"79072","TOTALCUSTOMERS":11000,"CUSTOMERSOUT":7
"ZIPCODE":"79250","TOTALCUSTOMERS":714,"CUSTOMERSOUT":1
"ZIPCODE":"54868","TOTALCUSTOMERS":1369,"CUSTOMERSOUT":2
"ZIPCODE":"54891","TOTALCUSTOMERS":1535,"CUSTOMERSOUT":4
"ZIPCODE":"80002","TOTALCUSTOMERS":11183,"CUSTOMERSOUT":0
"ZIPCODE":"80007","TOTALCUSTOMERS":7054,"CUSTOMERSOUT":1
"ZIPCODE":"80014","TOTALCUSTOMERS":21630,"CUSTOMERSOUT":1
"ZIPCODE":"80022","TOTALCUSTOMERS":10691,"CUSTOMERSOUT":109
"ZIPCODE":"80113","TOTALCUSTOMERS":11748,"CUSTOMERSOUT":1
"ZIPCODE":"80120","TOTALCUSTOMERS":14729,"CUSTOMERSOUT":1
"ZIPCODE":"80121","TOTALCUSTOMERS":7602,"CUSTOMERSOUT":12
"ZIPCODE":"80123","TOTALCUSTOMERS":22072,"CUSTOMERSOUT":0
"ZIPCODE":"80221","TOTALCUSTOMERS":16634,"CUSTOMERSOUT":1
"ZIPCODE":"80223","TOTALCUSTOMERS":10819,"CUSTOMERSOUT":10
"ZIPCODE":"80227","TOTALCUSTOMERS":17623,"CUSTOMERSOUT":2
"ZIPCODE":"80239","TOTALCUSTOMERS":15337,"CUSTOMERSOUT":12
"ZIPCODE":"80249","TOTALCUSTOMERS":14488,"CUSTOMERSOUT":2
"ZIPCODE":"80403","TOTALCUSTOMERS":7559,"CUSTOMERSOUT":1
"ZIPCODE":"80439","TOTALCUSTOMERS":9789,"CUSTOMERSOUT":1
"ZIPCODE":"80443","TOTALCUSTOMERS":5334,"CUSTOMERSOUT":13
"ZIPCODE":"81101","TOTALCUSTOMERS":7363,"CUSTOMERSOUT":92
"ZIPCODE":"88252","TOTALCUSTOMERS":2762,"CUSTOMERSOUT":0
"ZIPCODE":"88256","TOTALCUSTOMERS":1590,"CUSTOMERSOUT":1
"ZIPCODE":"49968","TOTALCUSTOMERS":374,"CUSTOMERSOUT":1
"ZIPCODE":"55038","TOTALCUSTOMERS":8094,"CUSTOMERSOUT":3
"ZIPCODE":"55057","TOTALCUSTOMERS":8551,"CUSTOMERSOUT":7
"ZIPCODE":"55092","TOTALCUSTOMERS":2677,"CUSTOMERSOUT":27
