"ZIPCODE":"55077","TOTALCUSTOMERS":4444,"CUSTOMERSOUT":330
"ZIPCODE":"55106","TOTALCUSTOMERS":20471,"CUSTOMERSOUT":1
"ZIPCODE":"55112","TOTALCUSTOMERS":20383,"CUSTOMERSOUT":1
"ZIPCODE":"55130","TOTALCUSTOMERS":5463,"CUSTOMERSOUT":0
"ZIPCODE":"55150","TOTALCUSTOMERS":121,"CUSTOMERSOUT":1
"ZIPCODE":"55347","TOTALCUSTOMERS":10846,"CUSTOMERSOUT":8
"ZIPCODE":"55353","TOTALCUSTOMERS":562,"CUSTOMERSOUT":1
"ZIPCODE":"55408","TOTALCUSTOMERS":19073,"CUSTOMERSOUT":0
"ZIPCODE":"55411","TOTALCUSTOMERS":10369,"CUSTOMERSOUT":4
"ZIPCODE":"55412","TOTALCUSTOMERS":9196,"CUSTOMERSOUT":86
"ZIPCODE":"55416","TOTALCUSTOMERS":20819,"CUSTOMERSOUT":18
"ZIPCODE":"55420","TOTALCUSTOMERS":10796,"CUSTOMERSOUT":1
"ZIPCODE":"55910","TOTALCUSTOMERS":580,"CUSTOMERSOUT":17
"ZIPCODE":"56001","TOTALCUSTOMERS":20279,"CUSTOMERSOUT":37
"ZIPCODE":"58251","TOTALCUSTOMERS":786,"CUSTOMERSOUT":15
"ZIPCODE":"79118","TOTALCUSTOMERS":13224,"CUSTOMERSOUT":2
"ZIPCODE":"54736","TOTALCUSTOMERS":1397,"CUSTOMERSOUT":1
"ZIPCODE":"80002","TOTALCUSTOMERS":11183,"CUSTOMERSOUT":0
"ZIPCODE":"80007","TOTALCUSTOMERS":7054,"CUSTOMERSOUT":1
"ZIPCODE":"80011","TOTALCUSTOMERS":21858,"CUSTOMERSOUT":2
"ZIPCODE":"80016","TOTALCUSTOMERS":20612,"CUSTOMERSOUT":1
"ZIPCODE":"80022","TOTALCUSTOMERS":10691,"CUSTOMERSOUT":108
"ZIPCODE":"80110","TOTALCUSTOMERS":13215,"CUSTOMERSOUT":1
"ZIPCODE":"80113","TOTALCUSTOMERS":11748,"CUSTOMERSOUT":1
"ZIPCODE":"80120","TOTALCUSTOMERS":14729,"CUSTOMERSOUT":1
"ZIPCODE":"80121","TOTALCUSTOMERS":7602,"CUSTOMERSOUT":11
"ZIPCODE":"80123","TOTALCUSTOMERS":22072,"CUSTOMERSOUT":1
"ZIPCODE":"80207","TOTALCUSTOMERS":9256,"CUSTOMERSOUT":1
"ZIPCODE":"80212","TOTALCUSTOMERS":10320,"CUSTOMERSOUT":12
"ZIPCODE":"80214","TOTALCUSTOMERS":14381,"CUSTOMERSOUT":1
"ZIPCODE":"80221","TOTALCUSTOMERS":16634,"CUSTOMERSOUT":1
"ZIPCODE":"80223","TOTALCUSTOMERS":10819,"CUSTOMERSOUT":50
"ZIPCODE":"80227","TOTALCUSTOMERS":17623,"CUSTOMERSOUT":2
"ZIPCODE":"80230","TOTALCUSTOMERS":5035,"CUSTOMERSOUT":2
"ZIPCODE":"80236","TOTALCUSTOMERS":6337,"CUSTOMERSOUT":1
"ZIPCODE":"80249","TOTALCUSTOMERS":14488,"CUSTOMERSOUT":1
"ZIPCODE":"80403","TOTALCUSTOMERS":7559,"CUSTOMERSOUT":1
"ZIPCODE":"80443","TOTALCUSTOMERS":5334,"CUSTOMERSOUT":13
"ZIPCODE":"80651","TOTALCUSTOMERS":2006,"CUSTOMERSOUT":1
"ZIPCODE":"88252","TOTALCUSTOMERS":2762,"CUSTOMERSOUT":0
"ZIPCODE":"88256","TOTALCUSTOMERS":1590,"CUSTOMERSOUT":1
"ZIPCODE":"49968","TOTALCUSTOMERS":374,"CUSTOMERSOUT":1
"ZIPCODE":"55038","TOTALCUSTOMERS":8094,"CUSTOMERSOUT":3
"ZIPCODE":"55057","TOTALCUSTOMERS":8551,"CUSTOMERSOUT":9
"ZIPCODE":"55066","TOTALCUSTOMERS":9120,"CUSTOMERSOUT":1
