"ZIPCODE":"55427","TOTALCUSTOMERS":11700,"CUSTOMERSOUT":17
"ZIPCODE":"58251","TOTALCUSTOMERS":786,"CUSTOMERSOUT":1
"ZIPCODE":"57058","TOTALCUSTOMERS":803,"CUSTOMERSOUT":1
"ZIPCODE":"57105","TOTALCUSTOMERS":11463,"CUSTOMERSOUT":1
"ZIPCODE":"79035","TOTALCUSTOMERS":1717,"CUSTOMERSOUT":1
"ZIPCODE":"79084","TOTALCUSTOMERS":1257,"CUSTOMERSOUT":1
"ZIPCODE":"54460","TOTALCUSTOMERS":614,"CUSTOMERSOUT":4
"ZIPCODE":"54557","TOTALCUSTOMERS":1865,"CUSTOMERSOUT":11
"ZIPCODE":"54614","TOTALCUSTOMERS":205,"CUSTOMERSOUT":1
"ZIPCODE":"54848","TOTALCUSTOMERS":2591,"CUSTOMERSOUT":2
"ZIPCODE":"80005","TOTALCUSTOMERS":11908,"CUSTOMERSOUT":2
"ZIPCODE":"80010","TOTALCUSTOMERS":15052,"CUSTOMERSOUT":1
"ZIPCODE":"80011","TOTALCUSTOMERS":21848,"CUSTOMERSOUT":53
"ZIPCODE":"80013","TOTALCUSTOMERS":27859,"CUSTOMERSOUT":0
"ZIPCODE":"80014","TOTALCUSTOMERS":21630,"CUSTOMERSOUT":0
"ZIPCODE":"80015","TOTALCUSTOMERS":12520,"CUSTOMERSOUT":2
"ZIPCODE":"80016","TOTALCUSTOMERS":20590,"CUSTOMERSOUT":1
"ZIPCODE":"80027","TOTALCUSTOMERS":14455,"CUSTOMERSOUT":30
"ZIPCODE":"80123","TOTALCUSTOMERS":22063,"CUSTOMERSOUT":12
"ZIPCODE":"80211","TOTALCUSTOMERS":20067,"CUSTOMERSOUT":40
"ZIPCODE":"80303","TOTALCUSTOMERS":11449,"CUSTOMERSOUT":24
"ZIPCODE":"80439","TOTALCUSTOMERS":9785,"CUSTOMERSOUT":1
"ZIPCODE":"80631","TOTALCUSTOMERS":20290,"CUSTOMERSOUT":1
"ZIPCODE":"80634","TOTALCUSTOMERS":26119,"CUSTOMERSOUT":13
"ZIPCODE":"81120","TOTALCUSTOMERS":2009,"CUSTOMERSOUT":1
"ZIPCODE":"81149","TOTALCUSTOMERS":559,"CUSTOMERSOUT":1
"ZIPCODE":"81201","TOTALCUSTOMERS":5837,"CUSTOMERSOUT":5
"ZIPCODE":"81650","TOTALCUSTOMERS":6016,"CUSTOMERSOUT":1
"ZIPCODE":"88201","TOTALCUSTOMERS":13019,"CUSTOMERSOUT":2
"ZIPCODE":"88203","TOTALCUSTOMERS":12993,"CUSTOMERSOUT":4
"ZIPCODE":"88240","TOTALCUSTOMERS":20978,"CUSTOMERSOUT":1
"ZIPCODE":"55044","TOTALCUSTOMERS":5678,"CUSTOMERSOUT":1
"ZIPCODE":"55082","TOTALCUSTOMERS":16627,"CUSTOMERSOUT":20
"ZIPCODE":"55101","TOTALCUSTOMERS":5795,"CUSTOMERSOUT":2
"ZIPCODE":"55103","TOTALCUSTOMERS":5306,"CUSTOMERSOUT":16
"ZIPCODE":"55104","TOTALCUSTOMERS":20291,"CUSTOMERSOUT":1
"ZIPCODE":"55107","TOTALCUSTOMERS":6708,"CUSTOMERSOUT":1
"ZIPCODE":"55109","TOTALCUSTOMERS":9647,"CUSTOMERSOUT":1
"ZIPCODE":"55112","TOTALCUSTOMERS":20379,"CUSTOMERSOUT":1
"ZIPCODE":"55114","TOTALCUSTOMERS":3302,"CUSTOMERSOUT":21
"ZIPCODE":"55127","TOTALCUSTOMERS":5249,"CUSTOMERSOUT":20
"ZIPCODE":"55405","TOTALCUSTOMERS":8588,"CUSTOMERSOUT":1
"ZIPCODE":"55410","TOTALCUSTOMERS":9811,"CUSTOMERSOUT":12
"ZIPCODE":"55417","TOTALCUSTOMERS":12129,"CUSTOMERSOUT":1
"ZIPCODE":"55418","TOTALCUSTOMERS":15066,"CUSTOMERSOUT":74
