"ZIPCODE":"57311","TOTALCUSTOMERS":381,"CUSTOMERSOUT":7
"ZIPCODE":"57340","TOTALCUSTOMERS":75,"CUSTOMERSOUT":75
"ZIPCODE":"79007","TOTALCUSTOMERS":8214,"CUSTOMERSOUT":1
"ZIPCODE":"79015","TOTALCUSTOMERS":12136,"CUSTOMERSOUT":2
"ZIPCODE":"79068","TOTALCUSTOMERS":2130,"CUSTOMERSOUT":3
"ZIPCODE":"79097","TOTALCUSTOMERS":1055,"CUSTOMERSOUT":2
"ZIPCODE":"80018","TOTALCUSTOMERS":7585,"CUSTOMERSOUT":1
"ZIPCODE":"80239","TOTALCUSTOMERS":15375,"CUSTOMERSOUT":1
"ZIPCODE":"80401","TOTALCUSTOMERS":20608,"CUSTOMERSOUT":122
"ZIPCODE":"80403","TOTALCUSTOMERS":7581,"CUSTOMERSOUT":3
"ZIPCODE":"81101","TOTALCUSTOMERS":7399,"CUSTOMERSOUT":15
"ZIPCODE":"81506","TOTALCUSTOMERS":4081,"CUSTOMERSOUT":24
"ZIPCODE":"88130","TOTALCUSTOMERS":6286,"CUSTOMERSOUT":2
"ZIPCODE":"88220","TOTALCUSTOMERS":21557,"CUSTOMERSOUT":1
"ZIPCODE":"55104","TOTALCUSTOMERS":20548,"CUSTOMERSOUT":20
"ZIPCODE":"55114","TOTALCUSTOMERS":3304,"CUSTOMERSOUT":1
"ZIPCODE":"55391","TOTALCUSTOMERS":8115,"CUSTOMERSOUT":1
"ZIPCODE":"55407","TOTALCUSTOMERS":16816,"CUSTOMERSOUT":1
